第一例

男命：1974年4月28日下午4:40分 出生地点：美国
D 离异，有孩子（正确答案）

Q14 佩小姐在下面哪一年的工作有新的突破发展？
A 2014年
B 2016年
C 2018年（正确答案）
D 2021年

Q15 以下描述中比较符合佩小姐是什么？
A 自私自利，喜欢向别人索取，易怒，蛮横无理
B 外冷内热，习惯付出，耳根子软不善拒绝，被家人压榨欺负（正确答案）
C 外柔内刚，很有主见，善于表面一套背地里一套，交际能手
D 强势固执，猜忌多疑，不喜欢外出，孤僻没朋友


第四例

女命：公历1977年10月26日11时10分 出生地点：马来西亚
命题提供者 林狄鸿老师

Q16 命主现在的职业是什么？
A 家庭主妇（正确答案）
B 秘书
C 自己做生意
D 公关行业

Q17 命主2008年发生何事？
A 签字结婚（正确答案）
B 换工作
C 开公司做生意
D 车祸

Q18 离婚何时？
A 2010
B 2013（正确答案）
C 2016
D 2018

Q19 命主在2016年发生何事？
A 堕胎 （正确答案）
B 得了一笔横财
C 移民外国
D 升职加薪

Q20 命主在2009年发生什么？
A 被打劫
B 买产业
C 生病住院
D 父亲去世（正确答案）

第五例

男命：公历1985年6月29日18时32分（酉时）出生地点：马来西亚
命题提供者 马来西亚 杨迪生老师

Q21 以下哪一段描述最符合命主个性？
A 谨慎小心，从不冒险（正确答案）
B 脾气暴躁， 自暴自弃
C 先斩后奏，闯祸后就逃避
D 苦口婆心， 啰啰嗦嗦

Q22 问命主在几时结婚？（公历）
A 2017年3月
B 2019年11月（正确答案）
C 至今未婚
D 2018年6月

Q23 2009年发生何事？
A 和黑道人物的女人发生关系，被追杀
B 和朋友创业，被股东诈骗（正确答案）
C 中彩票，获得十数万现金
D 发生车祸受重伤，在医院数月

Q24 前半年的2022发生什么事情？
A 创业并获得巨额融资
B 犯下刑事罪被告上法庭
C 父亲受伤进医院（正确答案）
D 工作上立大功被提拔成管理层

Q25 请命主的学历如何？
A 大学/大专毕业
B 中学/高中毕业（正确答案）
C 专业技术学校毕业
D 小学未读完就辍学


第六例
男命：公历1983年11月1日（亥时） 出生地点：中国台湾
命题提供者 中国台湾 林炳昌老师

Q26 这个人的爱情问题如何？
A 单身，曾交往几任却都无疾而终（正确答案）
B 有稳定交往多年对象，但仍未婚
C 曾有一段婚姻，但于2021年离婚
D 已婚，家庭幸福且育有一子

Q27 命主学历及工作为何？
A 只有高职毕业，在市场摆摊赚钱
B 大学毕业，目前在小公司当助理
C 硕士毕业，大学担任高级研究员
D 博士毕业，上市公司担任工程师（正确答案）

Q28 命主曾被骗钱，请问在何时？
A 2014年
B 2018年
C 2019年
D 2021年（正确答案）

Q29 命主个性及特色原因？
A 精神亢奋常坐不住，像个过动儿
B 经常运动，体力好且有强健体魄
C 喜好交友，但真心朋友寥寥无几（正确答案）
D 待人和善且严以律己，寛以待人

Q30 命主理财能力如何？
A 虽赚的不多，但很会理财，已购置一栋房子
B 很没理财观念，赚的钱皆由母亲代为管理（正确答案）
C 家境优渥，是个很会乱花钱的富二代
D 相当投机，赚的钱几乎都投入股市，但赚少赔多


第七例

女命公历1984年12月9日（酉时） 出生地点：中国香港
命题提供者 青术会代表大Ｖ

Q31 此命之性格？
A 勤俭顾家，知书识礼，明辨是非
B 好勇争胜，说话霸气，说胜才止
C 心多贪权，急于求成，见困难挫折而离弃
D 胆小怕事，心气压抑，欠缺当机立断心志（正确答案）

Q32 此命祖上富，因父好赌，何年破产？
A 1995
B 1997
C 2003（正确答案）
D 2007

Q33 何年在牢狱几个月？
A 2003 （正确答案）
B 2007
C 2010
D 2016

Q34 此命于2005年拍拖，于何年结婚？
A 2008
B 2010
C 2012（正确答案）
D 2014

Q35 此命的感情生活情况？
A 夫妻恩爱，而且一心一意，夫妻同心照顾孩子
B 丈夫外有情人，但家用充足，命主在家照顾孩子，后离婚（正确答案）
C 丈夫不给家用更有情人，命主只好打工照顾孩子，后离婚
D 丈夫生意失败而离家出走，只好打工帮丈夫还债及照顾孩子


第八例

男命公历1981年6月17日（戌时）出生地点：中国香港
命题提供者 中国香港 方法振老师

Q36 命主出生时的家庭环境如何？
A 家境错误
B 不过不失
C 小康之家（正确答案）
D 富裕家庭

Q37 命主的婚姻状况？
A 仍然单身
B 同居生活
C 已婚（正确答案）
D 已离婚

Q38 命在2014年曾接受手术，手术器官？
A 心脏
B 脑部（正确答案）
C 双腿
D 手肘

Q39 命主职业是？
A 保险从业员（正确答案）
B 零售业
C 文员
D 的士司机

Q40 命主2020/2021年的经济状况是？
A 月光族
B 欠下债务（正确答案）
C 薄有积蓄
D 财务自由
